arXiv ID,Title,Authors,Subjects,Publication Date,PDF Link,Image Path
arXiv:2502.09540,The $p$-rank stratification of the moduli space of double covers of a fixed elliptic curve,"Kevin Chang, Dušan Dragutinović, Steven R. Groen, Yuxin Lin, Natalia Pacheco-Tallaj, Deepesh Singhal",Number Theory (math.NT); Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.09540,images/arXiv_2502.09540.png
arXiv:2502.09539,Erdős's integer dilation approximation problem and GCD graphs,"Dimitris Koukoulopoulos, Youness Lamzouri, Jared Duker Lichtman",Number Theory (math.NT); Combinatorics (math.CO); Dynamical Systems (math.DS),2025-02-14,https://arxiv.org/pdf/2502.09539,images/arXiv_2502.09539.png
arXiv:2502.09537,Explicit and CPU/GPU parallel energy-preserving schemes for the Klein-Gordon-Schrödinger equations,"Xuelong Gu, Yushun Wang, Ziyu Wu, Jiaquan Gao, Wenjun Cai",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.09537,images/arXiv_2502.09537.png
arXiv:2502.09536,Triangle Presentations Encoded by Perfect Difference Sets,Amy Herron,Group Theory (math.GR),2025-02-14,https://arxiv.org/pdf/2502.09536,images/arXiv_2502.09536.png
arXiv:2502.09530,Simultaneous generating sets for flags,"Federico Glaudo, Noah Kravitz, Chayim Lowen",Combinatorics (math.CO); Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.09530,images/arXiv_2502.09530.png
arXiv:2502.09519,Excluded power graphs of groups,Brian Curtin,Combinatorics (math.CO); Group Theory (math.GR),2025-02-14,https://arxiv.org/pdf/2502.09519,images/arXiv_2502.09519.png
arXiv:2502.09515,Analysis of different Mathematical Models for Different Case Studies Using Statistical Fitting,"Hamidreza Moradi, Hamideh Hossei, Erfan Kefayat",Differential Geometry (math.DG); Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.09515,images/arXiv_2502.09515.png
arXiv:2502.09513,"On dynamics of the Mapping class group action on relative $\text{PSL}(2,\mathbb{R})$-Character Varieties",Ajay Kumar Nair,Geometric Topology (math.GT); Metric Geometry (math.MG),2025-02-14,https://arxiv.org/pdf/2502.09513,images/arXiv_2502.09513.png
arXiv:2502.09510,Gabor systems with Hermite functions of order n and oversampling greater n+1 which are not frames,Markus Faulhuber,Functional Analysis (math.FA); Mathematical Physics (math-ph),2025-02-14,https://arxiv.org/pdf/2502.09510,images/arXiv_2502.09510.png
arXiv:2502.09508,A systematic literature review on the application of analytical approaches and mathematical programming in public bus transit network design and operations planning: Part I,"Reza Mahmoudi, Saeid Saidi, S. Chan Wirasinghe",Numerical Analysis (math.NA); Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09508,images/arXiv_2502.09508.png
arXiv:2502.09499,Representation theory and central limit theorems for traces of commutators for compact Lie groups,Jason Fulman,Representation Theory (math.RT); Combinatorics (math.CO); Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09499,images/arXiv_2502.09499.png
arXiv:2502.09498,On the monodromy and spin parity of single-cylinder origamis in the minimal stratum,"Tarik Aougab, Adam Friedman-Brown, Luke Jeffreys, Jiajie Ma",Geometric Topology (math.GT); Group Theory (math.GR),2025-02-14,https://arxiv.org/pdf/2502.09498,images/arXiv_2502.09498.png
arXiv:2502.09493,Quantitative estimates for high-contrast random media,"Peter Bella, Matteo Capoferri, Mikhail Cherdantsev, Igor Velčić",Analysis of PDEs (math.AP); Mathematical Physics (math-ph); Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09493,images/arXiv_2502.09493.png
arXiv:2502.09489,On the largest singular vector of the Redheffer matrix,"François Clément, Stefan Steinerberger",Number Theory (math.NT),2025-02-14,https://arxiv.org/pdf/2502.09489,images/arXiv_2502.09489.png
arXiv:2502.09486,A class of point-wise operating SPDE coefficients for HJM models,"Nils Detering, Silvia Lavagnini",Probability (math.PR); Mathematical Finance (q-fin.MF),2025-02-14,https://arxiv.org/pdf/2502.09486,images/arXiv_2502.09486.png
arXiv:2502.09485,Flow approach on the monotonicity of shape functionals,"Yong Huang, Qinfeng Li, Shuangquan Xie, Hang Yang",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09485,images/arXiv_2502.09485.png
arXiv:2502.09476,An Analogue of Heyde's Theorem for a Certain Class of Compact Totally Disconnected Abelian Groups and p-quasicyclic Groups,Gennadiy Feldman,Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09476,images/arXiv_2502.09476.png
arXiv:2502.09470,Convex cocompact groups in real hyperbolic spaces with limit set a Pontryagin sphere,"Sami Douba, Gye-Seon Lee, Ludovic Marquis, Lorenzo Ruffoni",Geometric Topology (math.GT); Group Theory (math.GR),2025-02-14,https://arxiv.org/pdf/2502.09470,images/arXiv_2502.09470.png
arXiv:2502.09468,Speed planning by minimizing travel time and energy consumption,"Stefano Ardizzoni, Luca Consolini, Mattia Laurini, Marco Locatelli",Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09468,images/arXiv_2502.09468.png
arXiv:2502.09462,Thomason's completion for K-theory and cyclic homology of quotient stacks,"Amalendu Krishna, Ritankar Nath",Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.09462,images/arXiv_2502.09462.png
arXiv:2502.09461,On the heat content of compact quantum graphs,"Patrizio Bifulco, Delio Mugnolo",Spectral Theory (math.SP); Analysis of PDEs (math.AP); Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09461,images/arXiv_2502.09461.png
arXiv:2502.09456,A Cut-free Sequent Calculus for Basic Intuitionistic Dynamic Topological Logic,"Amirhossein Akbar Tabatabai, Majid Alizadeh, Alireza Mahmoudian",Logic (math.LO); Logic in Computer Science (cs.LO),2025-02-14,https://arxiv.org/pdf/2502.09456,images/arXiv_2502.09456.png
arXiv:2502.09451,Notes on ultrafilter extensions of almost bounded structures,Zalán Molnár,Logic (math.LO),2025-02-14,https://arxiv.org/pdf/2502.09451,images/arXiv_2502.09451.png
arXiv:2502.09442,The Diophantine problem in iterated wreath products of free abelian groups is undecidable,"Olga Kharlampovich, Alexei Miasnikov",Group Theory (math.GR),2025-02-14,https://arxiv.org/pdf/2502.09442,images/arXiv_2502.09442.png
arXiv:2502.09438,Realisability of simultaneous density constraints for sets of integers,Pierre-Yves Bienvenu,Number Theory (math.NT); Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09438,images/arXiv_2502.09438.png
arXiv:2502.09433,Rigidity results for free boundary hypersurfaces in initial data sets with boundary,"Deivid de Almeida, Abraão Mendes",Differential Geometry (math.DG); General Relativity and Quantum Cosmology (gr-qc),2025-02-14,https://arxiv.org/pdf/2502.09433,images/arXiv_2502.09433.png
